Date,HG=F.Close,AAPL.Close,MSCI.Close
2007-11-15,3.082,5.867857,26.1
2007-11-16,3.156,5.9425,24.959999
2007-11-19,2.9805,5.855357,25.75
2007-11-20,3.0255,6.030357,27.32
2007-11-21,2.887,6.016429,26.65
2007-11-23,2.985,6.126429,27.4
2007-11-26,3.019,6.162143,27.799999
2007-11-27,2.9585,6.243214,26.98
2007-11-28,3.001,6.436429,27.299999
2007-11-29,3.0635,6.581786,27.299999
2007-11-30,3.157,6.507857,27.65
2007-12-03,3.061,6.387857,27.969999
2007-12-04,2.998,6.421786,29.35
2007-12-05,3.016,6.625,29.280001
2007-12-06,3.0185,6.783929,28.91
2007-12-07,3.0945,6.939286,28.879999
2007-12-10,3.061,6.936071,29
2007-12-11,3.0575,6.733571,29
2007-12-12,3.016,6.816429,28.48
2007-12-13,2.9395,6.851071,28.940001
2007-12-14,2.9365,6.799643,28.719999
2007-12-17,2.873,6.585714,27.98
2007-12-18,2.87,6.535,28.5
2007-12-19,2.9455,6.54,28.950001
2007-12-20,2.9585,6.686071,28.889999
2007-12-21,3.0935,6.925357,33.720001
2007-12-24,3.147,7.1,33.919998
2007-12-26,3.155,7.105357,34.349998
2007-12-27,3.105,7.091786,36.549999
2007-12-28,3.0575,7.136786,37.32
2007-12-31,3.0305,7.074286,38.400002
2008-01-02,3.0505,6.958571,33.849998
2008-01-03,3.173,6.961786,30.790001
2008-01-04,3.1415,6.430357,30.15
2008-01-07,3.125,6.344286,28.139999
2008-01-08,3.2735,6.116071,26.629999
2008-01-09,3.2645,6.407143,27.76
2008-01-10,3.261,6.357857,29.639999
2008-01-11,3.2835,6.1675,30.43
2008-01-14,3.317,6.385,30.5
2008-01-15,3.22,6.037143,30.709999
2008-01-16,3.1615,5.701429,29.299999
2008-01-17,3.1705,5.746071,28.99
2008-01-18,3.2245,5.762857,29.32
2008-01-22,3.189,5.558571,28.9
2008-01-23,3.0635,4.966786,31.16
2008-01-24,3.165,4.842857,32.169998
2008-01-25,3.176,4.643214,31.780001
2008-01-28,3.182,4.643214,33.060001
2008-01-29,3.289,4.697857,32.779999
2008-01-30,3.216,4.720714,32.700001
2008-01-31,3.2895,4.834286,32.970001
2008-02-01,3.2605,4.776786,34.599998
2008-02-04,3.288,4.701786,33.48
2008-02-05,3.2035,4.62,32.869999
2008-02-06,3.3075,4.357143,31.370001
2008-02-07,3.448,4.33,29.709999
2008-02-08,3.5345,4.481429,31.33
2008-02-11,3.5535,4.623214,31.43
2008-02-12,3.555,4.459286,31.299999
2008-02-13,3.5255,4.621429,33.830002
2008-02-14,3.488,4.552143,33.279999
2008-02-15,3.521,4.451071,31.74
2008-02-19,3.725,4.363571,32.099998
2008-02-20,3.7055,4.422143,32.209999
2008-02-21,3.8105,4.340714,33.599998
2008-02-22,3.787,4.266429,33.73
2008-02-25,3.7415,4.276429,33.09
2008-02-26,3.781,4.255357,33.919998
2008-02-27,3.84,4.391429,32
2008-02-28,3.8635,4.639643,31.09
2008-02-29,3.852,4.465,29.73
2008-03-03,3.931,4.3475,29.07
2008-03-04,3.827,4.450714,29.360001
2008-03-05,3.9895,4.446071,31.65
2008-03-06,3.9145,4.318929,29.860001
2008-03-07,3.932,4.366071,28.26
2008-03-10,3.8085,4.274643,27.01
2008-03-11,3.799,4.548214,30.290001
2008-03-12,3.8515,4.501071,29.83
2008-03-13,3.84,4.569286,29.940001
2008-03-14,3.847,4.521786,26.860001
2008-03-17,3.712,4.526071,23.57
2008-03-18,3.7705,4.743571,27
2008-03-19,3.6595,4.631071,26.690001
2008-03-20,3.611,4.759643,28.209999
2008-03-24,3.655,4.983214,30.07
2008-03-25,3.6995,5.035,30.389999
2008-03-26,3.751,5.180714,29.41
2008-03-27,3.9035,5.008929,29.700001
2008-03-28,3.856,5.1075,31.25
2008-03-31,3.8635,5.125,29.75
2008-04-01,3.826,5.340357,30.889999
2008-04-02,3.8885,5.2675,31.77
2008-04-03,3.924,5.414643,32.029999
2008-04-04,3.9785,5.467143,32.779999
2008-04-07,3.9945,5.5675,31.41
2008-04-08,3.909,5.458571,30.790001
2008-04-09,4.028,5.408571,27.98
2008-04-10,3.954,5.519643,28.49
2008-04-11,3.9745,5.255,27.93
2008-04-14,3.9265,5.277857,27.719999
2008-04-15,3.891,5.299286,27.17
2008-04-16,3.988,5.489286,28.049999
2008-04-17,3.942,5.5175,28.549999
2008-04-18,3.9195,5.751429,28.73
